k1,Top N,Recall
0.3,3,0.13034623217922606
0.3,4,0.15274949083503056
0.3,5,0.1690427698574338
0.3,20,0.32179226069246436
0.3,50,0.4419551934826884
0.3,100,0.5173116089613035
0.3,200,0.5682281059063137
0.5,3,0.12830957230142567
0.5,4,0.15274949083503056
0.5,5,0.17922606924643583
0.5,20,0.3258655804480652
0.5,50,0.4439918533604888
0.5,100,0.515274949083503
0.5,200,0.5723014256619144
0.7,3,0.13441955193482688
0.7,4,0.15682281059063136
0.7,5,0.1710794297352342
0.7,20,0.329938900203666
0.7,50,0.4419551934826884
0.7,100,0.5091649694501018
0.7,200,0.5723014256619144
0.9000000000000001,3,0.1384928716904277
0.9000000000000001,4,0.15682281059063136
0.9000000000000001,5,0.1710794297352342
0.9000000000000001,20,0.3258655804480652
0.9000000000000001,50,0.4460285132382892
0.9000000000000001,100,0.5071283095723014
0.9000000000000001,200,0.570264765784114
1.1,3,0.13441955193482688
1.1,4,0.15478615071283094
1.1,5,0.1710794297352342
1.1,20,0.32382892057026474
1.1,50,0.439918533604888
1.1,100,0.5030549898167006
1.1,200,0.5682281059063137
1.3,3,0.12830957230142567
1.3,4,0.15071283095723015
1.3,5,0.1710794297352342
1.3,20,0.3136456211812627
1.3,50,0.43380855397148677
1.3,100,0.4989816700610998
1.3,200,0.5621181262729125
1.5000000000000002,3,0.12423625254582485
1.5000000000000002,4,0.1384928716904277
1.5000000000000002,5,0.1629327902240326
1.5000000000000002,20,0.3095723014256619
1.5000000000000002,50,0.4215885947046843
1.5000000000000002,100,0.49287169042769857
1.5000000000000002,200,0.5580448065173116
1.7000000000000002,3,0.11812627291242363
1.7000000000000002,4,0.13238289205702647
1.7000000000000002,5,0.15478615071283094
1.7000000000000002,20,0.3075356415478615
1.7000000000000002,50,0.41140529531568226
1.7000000000000002,100,0.48879837067209775
1.7000000000000002,200,0.5539714867617108
