claim_id,evidence_id,label,claim_text,evidence_text
claim-1937,evidence-442946,1,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,"At very high concentrations 100 times atmospheric concentration or greater carbon dioxide can be toxic to animal life so raising the concentration to 10,000 ppm 1 or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse"
claim-1937,evidence-55991,0,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,On July 21 2011 while a guest on the show he stated To suggest that CO2 a pollutant when it an extremely important gas in the atmosphere for all plant life and therefore for the oxygen that produced is just nonsense
claim-1937,evidence-1167485,0,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,Less direct geological evidence indicates that CO2 values have not been this high for millions of years
claim-1937,evidence-180631,0,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,Fossil fuel power plants cause the emission of pollutants such as NOx SOx CO2 CO PM organic gases and polycyclic aromatic hydrocarbons
claim-1937,evidence-66273,0,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,Higher atmospheric CO2 concentrations have led to an increase in dissolved CO2 which causes ocean acidification
claim-1937,evidence-499734,0,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,While the full implications of elevated CO2 on marine ecosystems are still being documented there is a substantial body of research showing that a combination of ocean acidification and elevated ocean temperature driven mainly by CO2 and other greenhouse gas emissions have a compounded effect on marine life and the ocean environment
claim-2510,evidence-984887,1,In 1946 PDO switched to a cool phase,1945/1946 The PDO changed to a cool phase the pattern of this regime shift is similar to the 1970s episode with maximum amplitude in the subarctic and subtropical front but with a greater signature near the Japan while the 1970s shift was stronger near the American west coast
claim-2510,evidence-32728,0,In 1946 PDO switched to a cool phase,The PDO is detected as warm or cool surface waters in the Pacific Ocean north of 20° N. During a warm or positive phase the west Pacific becomes cool and part of the eastern ocean warms during a cool or negative phase the opposite pattern occurs
claim-2510,evidence-410946,0,In 1946 PDO switched to a cool phase,The PDO is detected as warm or cool surface waters in the Pacific Ocean north of 20°N
claim-2510,evidence-1208158,0,In 1946 PDO switched to a cool phase,The PDO is a pattern of Pacific climate variability that shifts phases on at least inter-decadal time scale usually about 20 to 30 years
claim-2510,evidence-84969,0,In 1946 PDO switched to a cool phase,1924/1925 PDO changed to a warm phase
claim-2510,evidence-667390,0,In 1946 PDO switched to a cool phase,1976/1977 PDO changed to a warm phase
