claim_id,claim_text,evidence_id,evidence_text,claim_label
claim-1937,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,evidence-55991,On July 21 2011 while a guest on the show he stated To suggest that CO2 a pollutant when it an extremely important gas in the atmosphere for all plant life and therefore for the oxygen that produced is just nonsense,DISPUTED
claim-1937,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,evidence-180631,Fossil fuel power plants cause the emission of pollutants such as NOx SOx CO2 CO PM organic gases and polycyclic aromatic hydrocarbons,DISPUTED
claim-1937,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,evidence-1167485,Less direct geological evidence indicates that CO2 values have not been this high for millions of years,DISPUTED
claim-1937,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,evidence-588973,The whitebark pine ecosystem in these high elevations plays many essential roles providing support to plant and animal life,DISPUTED
claim-1937,Not only is there no scientific evidence that CO2 is a pollutant higher CO2 concentrations actually help ecosystems support more plant and animal life,evidence-66273,Higher atmospheric CO2 concentrations have led to an increase in dissolved CO2 which causes ocean acidification,DISPUTED
claim-126,El drove record highs in global temperatures suggesting rise may not be down to man-made emissions,evidence-991738,Additionally the study noted Our results suggest that higher carbon emission rates also contribute to increased sea level rise in this region compared to the global average,REFUTES
claim-126,El drove record highs in global temperatures suggesting rise may not be down to man-made emissions,evidence-494148,This trend could be extrapolated to continue into the future possibly leading to a full ice age but the twentieth-century instrumental temperature record shows a sudden reversal of this trend with a rise in global temperatures attributed to greenhouse gas emissions,REFUTES
claim-126,El drove record highs in global temperatures suggesting rise may not be down to man-made emissions,evidence-606276,The first mass global bleaching events were recorded in 1998 and 2010 which was when the El caused the oceans temperatures to rise and worsened the corals living conditions,REFUTES
claim-126,El drove record highs in global temperatures suggesting rise may not be down to man-made emissions,evidence-563656,Modern climate change is driven by the human emissions of greenhouse gas from the burning of fossil fuel driving up global mean surface temperatures,REFUTES
claim-126,El drove record highs in global temperatures suggesting rise may not be down to man-made emissions,evidence-22668,The finding of an almost linear relationship between global temperature rise and cumulative carbon dioxide emissions has encouraged the estimation of global emissions budgets in order to remain below dangerous levels of warming,REFUTES
claim-2510,In 1946 PDO switched to a cool phase,evidence-32728,The PDO is detected as warm or cool surface waters in the Pacific Ocean north of 20° N. During a warm or positive phase the west Pacific becomes cool and part of the eastern ocean warms during a cool or negative phase the opposite pattern occurs,SUPPORTS
claim-2510,In 1946 PDO switched to a cool phase,evidence-984887,1945/1946 The PDO changed to a cool phase the pattern of this regime shift is similar to the 1970s episode with maximum amplitude in the subarctic and subtropical front but with a greater signature near the Japan while the 1970s shift was stronger near the American west coast,SUPPORTS
claim-2510,In 1946 PDO switched to a cool phase,evidence-420577,The 2014 flip from the cool PDO phase to the warm phase which vaguely resembles a long and drawn out El event contributed to record-breaking surface temperatures across the planet in 2014,SUPPORTS
claim-2510,In 1946 PDO switched to a cool phase,evidence-410946,The PDO is detected as warm or cool surface waters in the Pacific Ocean north of 20°N,SUPPORTS
